"","ref","team","fouls"
"406","Courtney Kirkland","MIA",326
"407","Courtney Kirkland","MIL",405
"408","Courtney Kirkland","MIN",569
"409","Courtney Kirkland","NO",371
"410","Courtney Kirkland","NY",579
"411","Courtney Kirkland","OKC",491
"412","Courtney Kirkland","ORL",295
"413","Courtney Kirkland","PHI",577
"414","Courtney Kirkland","PHO",539
"415","Courtney Kirkland","POR",522
"416","Courtney Kirkland","SA",506
"417","Courtney Kirkland","SAC",478
"418","Courtney Kirkland","TOR",512
"419","Courtney Kirkland","UTA",446
"420","Courtney Kirkland","WAS",475
"421","Curtis Blair","ATL",365
"422","Curtis Blair","BKN",470
"423","Curtis Blair","BOS",494
"424","Curtis Blair","CHA",501
"425","Curtis Blair","CHI",366
"426","Curtis Blair","CLE",446
"427","Curtis Blair","DAL",384
"428","Curtis Blair","DEN",395
"429","Curtis Blair","DET",465
"430","Curtis Blair","GS",370
"431","Curtis Blair","HOU",516
"432","Curtis Blair","IND",440
"433","Curtis Blair","LAC",366
"434","Curtis Blair","LAL",493
"435","Curtis Blair","MEM",452
"436","Curtis Blair","MIA",481
"437","Curtis Blair","MIL",501
"438","Curtis Blair","MIN",402
"439","Curtis Blair","NO",547
"440","Curtis Blair","NY",529
"441","Curtis Blair","OKC",370
"442","Curtis Blair","ORL",544
"443","Curtis Blair","PHI",467
"444","Curtis Blair","PHO",485
"445","Curtis Blair","POR",338
"446","Curtis Blair","SA",489
"447","Curtis Blair","SAC",423
"448","Curtis Blair","TOR",545
"449","Curtis Blair","UTA",330
"450","Curtis Blair","WAS",411
"451","Dan Crawford","ATL",306
"452","Dan Crawford","BKN",365
"453","Dan Crawford","BOS",279
"454","Dan Crawford","CHA",282
"455","Dan Crawford","CHI",436
"456","Dan Crawford","CLE",488
"457","Dan Crawford","DAL",431
"458","Dan Crawford","DEN",440
"459","Dan Crawford","DET",407
"460","Dan Crawford","GS",476
"461","Dan Crawford","HOU",536
"462","Dan Crawford","IND",375
"463","Dan Crawford","LAC",529
"464","Dan Crawford","LAL",453
"465","Dan Crawford","MEM",479
"466","Dan Crawford","MIA",437
"467","Dan Crawford","MIL",499
"468","Dan Crawford","MIN",419
"469","Dan Crawford","NO",358
"470","Dan Crawford","NY",445
"471","Dan Crawford","OKC",547
"472","Dan Crawford","ORL",313
"473","Dan Crawford","PHI",315
"474","Dan Crawford","PHO",462
"475","Dan Crawford","POR",453
"476","Dan Crawford","SA",472
"477","Dan Crawford","SAC",439
"478","Dan Crawford","TOR",296
"479","Dan Crawford","UTA",338
"480","Dan Crawford","WAS",341
"481","David Guthrie","ATL",332
"482","David Guthrie","BKN",545
"483","David Guthrie","BOS",507
"484","David Guthrie","CHA",445
"485","David Guthrie","CHI",420
"486","David Guthrie","CLE",492
"487","David Guthrie","DAL",631
"488","David Guthrie","DEN",285
"489","David Guthrie","DET",460
"490","David Guthrie","GS",535
"491","David Guthrie","HOU",491
"492","David Guthrie","IND",467
"493","David Guthrie","LAC",533
"494","David Guthrie","LAL",485
"495","David Guthrie","MEM",392
"496","David Guthrie","MIA",660
"497","David Guthrie","MIL",417
"498","David Guthrie","MIN",544
"499","David Guthrie","NO",571
"500","David Guthrie","NY",562
"501","David Guthrie","OKC",566
"502","David Guthrie","ORL",386
"503","David Guthrie","PHI",290
"504","David Guthrie","PHO",488
"505","David Guthrie","POR",473
"506","David Guthrie","SA",418
"507","David Guthrie","SAC",630
"508","David Guthrie","TOR",673
"509","David Guthrie","UTA",471
"510","David Guthrie","WAS",409
"511","David Jones","ATL",259
"512","David Jones","BKN",331
"513","David Jones","BOS",416
"514","David Jones","CHA",339
"515","David Jones","CHI",321
"516","David Jones","CLE",260
"517","David Jones","DAL",209
"518","David Jones","DEN",306
"519","David Jones","DET",369
"520","David Jones","GS",197
"521","David Jones","HOU",366
"522","David Jones","IND",243
"523","David Jones","LAC",275
"524","David Jones","LAL",238
"525","David Jones","MEM",206
"526","David Jones","MIA",361
"527","David Jones","MIL",337
"528","David Jones","MIN",286
"529","David Jones","NO",377
"530","David Jones","NY",410
"531","David Jones","OKC",445
"532","David Jones","ORL",424
"533","David Jones","PHI",292
"534","David Jones","PHO",237
"535","David Jones","POR",224
"536","David Jones","SA",182
"537","David Jones","SAC",248
"538","David Jones","TOR",283
"539","David Jones","UTA",358
"540","David Jones","WAS",226
"541","Dedric Taylor","ATL",252
"542","Dedric Taylor","BKN",277
"543","Dedric Taylor","BOS",258
"544","Dedric Taylor","CHA",212
"545","Dedric Taylor","CHI",260
"546","Dedric Taylor","CLE",300
"547","Dedric Taylor","DAL",259
"548","Dedric Taylor","DEN",318
"549","Dedric Taylor","DET",238
"550","Dedric Taylor","GS",259
"551","Dedric Taylor","HOU",302
"552","Dedric Taylor","IND",204
"553","Dedric Taylor","LAC",269
"554","Dedric Taylor","LAL",336
"555","Dedric Taylor","MEM",359
"556","Dedric Taylor","MIA",369
"557","Dedric Taylor","MIL",279
"558","Dedric Taylor","MIN",320
"559","Dedric Taylor","NO",269
"560","Dedric Taylor","NY",418
"561","Dedric Taylor","OKC",317
"562","Dedric Taylor","ORL",493
"563","Dedric Taylor","PHI",411
"564","Dedric Taylor","PHO",253
"565","Dedric Taylor","POR",309
"566","Dedric Taylor","SA",247
"567","Dedric Taylor","SAC",268
"568","Dedric Taylor","TOR",440
"569","Dedric Taylor","UTA",258
"570","Dedric Taylor","WAS",355
"571","Derek Richardson","ATL",349
"572","Derek Richardson","BKN",339
"573","Derek Richardson","BOS",383
"574","Derek Richardson","CHA",305
"575","Derek Richardson","CHI",358
"576","Derek Richardson","CLE",299
"577","Derek Richardson","DAL",412
"578","Derek Richardson","DEN",516
"579","Derek Richardson","DET",397
"580","Derek Richardson","GS",454
"581","Derek Richardson","HOU",407
"582","Derek Richardson","IND",380
"583","Derek Richardson","LAC",632
"584","Derek Richardson","LAL",473
"585","Derek Richardson","MEM",380
"586","Derek Richardson","MIA",298
"587","Derek Richardson","MIL",388
"588","Derek Richardson","MIN",328
"589","Derek Richardson","NO",484
"590","Derek Richardson","NY",423
"591","Derek Richardson","OKC",506
"592","Derek Richardson","ORL",313
"593","Derek Richardson","PHI",442
"594","Derek Richardson","PHO",478
"595","Derek Richardson","POR",487
"596","Derek Richardson","SA",388
"597","Derek Richardson","SAC",466
"598","Derek Richardson","TOR",597
"599","Derek Richardson","UTA",288
"600","Derek Richardson","WAS",429
"601","Derrick Collins","ATL",538
"602","Derrick Collins","BKN",482
"603","Derrick Collins","BOS",531
"604","Derrick Collins","CHA",447
"605","Derrick Collins","CHI",363
"606","Derrick Collins","CLE",564
"607","Derrick Collins","DAL",627
"608","Derrick Collins","DEN",555
"609","Derrick Collins","DET",479
"610","Derrick Collins","GS",629
"611","Derrick Collins","HOU",620
"612","Derrick Collins","IND",491
"613","Derrick Collins","LAC",477
"614","Derrick Collins","LAL",406
"615","Derrick Collins","MEM",547
"616","Derrick Collins","MIA",482
"617","Derrick Collins","MIL",505
"618","Derrick Collins","MIN",575
"619","Derrick Collins","NO",575
"620","Derrick Collins","NY",706
"621","Derrick Collins","OKC",705
"622","Derrick Collins","ORL",474
"623","Derrick Collins","PHI",487
"624","Derrick Collins","PHO",556
"625","Derrick Collins","POR",554
"626","Derrick Collins","SA",559
"627","Derrick Collins","SAC",484
"628","Derrick Collins","TOR",433
"629","Derrick Collins","UTA",510
"630","Derrick Collins","WAS",349
"631","Derrick Stafford","ATL",341
"632","Derrick Stafford","BKN",490
"633","Derrick Stafford","BOS",473
"634","Derrick Stafford","CHA",406
"635","Derrick Stafford","CHI",399
"636","Derrick Stafford","CLE",434
"637","Derrick Stafford","DAL",386
"638","Derrick Stafford","DEN",364
"639","Derrick Stafford","DET",519
"640","Derrick Stafford","GS",371
"641","Derrick Stafford","HOU",542
"642","Derrick Stafford","IND",532
"643","Derrick Stafford","LAC",353
"644","Derrick Stafford","LAL",469
"645","Derrick Stafford","MEM",386
"646","Derrick Stafford","MIA",363
"647","Derrick Stafford","MIL",447
"648","Derrick Stafford","MIN",429
"649","Derrick Stafford","NO",334
"650","Derrick Stafford","NY",486
"651","Derrick Stafford","OKC",601
"652","Derrick Stafford","ORL",453
"653","Derrick Stafford","PHI",536
"654","Derrick Stafford","PHO",508
"655","Derrick Stafford","POR",337
"656","Derrick Stafford","SA",373
"657","Derrick Stafford","SAC",433
"658","Derrick Stafford","TOR",526
"659","Derrick Stafford","UTA",474
"660","Derrick Stafford","WAS",586
"661","Dick Bavetta","ATL",140
"662","Dick Bavetta","BKN",176
"663","Dick Bavetta","BOS",217
"664","Dick Bavetta","CHA",199
"665","Dick Bavetta","CHI",84
"666","Dick Bavetta","CLE",244
"667","Dick Bavetta","DAL",80
"668","Dick Bavetta","DEN",75
"669","Dick Bavetta","DET",153
"670","Dick Bavetta","GS",107
"671","Dick Bavetta","HOU",178
"672","Dick Bavetta","IND",149
"673","Dick Bavetta","LAC",106
"674","Dick Bavetta","LAL",62
"675","Dick Bavetta","MEM",134
"676","Dick Bavetta","MIA",74
"677","Dick Bavetta","MIL",136
"678","Dick Bavetta","MIN",97
"679","Dick Bavetta","NO",137
"680","Dick Bavetta","NY",231
"681","Dick Bavetta","OKC",98
"682","Dick Bavetta","ORL",229
"683","Dick Bavetta","PHI",152
"684","Dick Bavetta","PHO",160
"685","Dick Bavetta","POR",109
"686","Dick Bavetta","SA",84
"687","Dick Bavetta","SAC",127
"688","Dick Bavetta","TOR",149
"689","Dick Bavetta","UTA",164
"690","Dick Bavetta","WAS",135
"691","Ed Malloy","ATL",469
"692","Ed Malloy","BKN",477
"693","Ed Malloy","BOS",490
